Name,Aurthor,Main_Source,Sub_Source,Ingredients,Cooktime,Cuisine ,Type,Gluten_Free,Nut_Free,Oil_Free,Soy_Free,No_Added_Sugar,Refined_Sugar_Free,Raw,Last_Made
Cinnamony French Toast with Apple Compote,Hannah Sunderani,The Two Spoons Cookbook,29,,,French,Breakfast,,,,,,,,
Oaty Banana Pancakes,Hannah Sunderani,The Two Spoons Cookbook,30,,,French,Breakfast,,,,,,,,
Classic Flaky Croissants,Hannah Sunderani,The Two Spoons Cookbook,33,,,French,Breakfast,,,,,,,,
Buttery Brioche,Hannah Sunderani,The Two Spoons Cookbook,39,,,French,Breakfast,,,,,,,,
Parisian Crepes with Chocolate Hazelnut Spread and Banana,Hannah Sunderani,The Two Spoons Cookbook,43,,,French,Breakfast,,,,,,,,
Maple Pecan Granola,Hannah Sunderani,The Two Spoons Cookbook,44,,,French,Breakfast,,,,,,,,
Creamy Chia Pudding with Red Fruits,Hannah Sunderani,The Two Spoons Cookbook,47,,,French,Breakfast,,,,,,,,6/4/2020
Blueberry Muffin 0vernight Oats,Hannah Sunderani,The Two Spoons Cookbook,48,,,French,Breakfast,,,,,,,,
Heavenly Coconut Quinoa Porridge,Hannah Sunderani,The Two Spoons Cookbook,51,,,French,Breakfast,,,,,,,,
Savoury French Toast,Hannah Sunderani,The Two Spoons Cookbook,52,,,French,Breakfast,,,,,,,,
Buckwlleat Crepes with Cashew Cream Cheese and Greens,Hannah Sunderani,The Two Spoons Cookbook,55,,,French,Breakfast,,,,,,,,
Mushroom and Spinach Quiche,Hannah Sunderani,The Two Spoons Cookbook,57,,,French,Breakfast,,,,,,,,
Chickpea Eggy Muffins,Hannah Sunderani,The Two Spoons Cookbook,61,,,French,Breakfast,,,,,,,,
"Chickpea Omelette with Ricotta, Grilled Asparagus, and Tomato",Hannah Sunderani,The Two Spoons Cookbook,62,,,French,Breakfast,,,,,,,,
Veggie Tofu Scramble with Roasted Baby Potatoes,Hannah Sunderani,The Two Spoons Cookbook,65,,,French,Breakfast,,,,,,,,
Raspberry Chia Jam,Hannah Sunderani,The Two Spoons Cookbook,66,,,French,Breakfast,,,,,,,,
Chocolate Hazelnut Spread,Hannah Sunderani,The Two Spoons Cookbook,69,,,French,Breakfast,,,,,,,,
Avocado Toast with Pink Beet Hummus and Granola,Hannah Sunderani,The Two Spoons Cookbook,70,,,French,Breakfast,,,,,,,,
PB&j with Fried Banana Toast,Hannah Sunderani,The Two Spoons Cookbook,73,,,French,Breakfast,,,,,,,,
Chocolate Hazelnut Spread and Strawberry Toast,Hannah Sunderani,The Two Spoons Cookbook,74,,,French,Breakfast,,,,,,,,
Tofu Eggy Scramble on Whole Wheat Toast,Hannah Sunderani,The Two Spoons Cookbook,77,,,French,Breakfast,,,,,,,,
Creamy Dreamy Almond Milk,Hannah Sunderani,The Two Spoons Cookbook,81,,,French,Drink,,,,,,,,
Super-Quick Oat Milk,Hannah Sunderani,The Two Spoons Cookbook,82,,,French,Drink,,,,,,,,
Barista Cashew Coconut Oat Milk,Hannah Sunderani,The Two Spoons Cookbook,85,,,French,Drink,,,,,,,,
Golden Turmeric Latte,Hannah Sunderani,The Two Spoons Cookbook,86,,,French,Drink,,,,,,,,
Matcha Latte,Hannah Sunderani,The Two Spoons Cookbook,89,,,French,Drink,,,,,,,,
Chocolat Chaud,Hannah Sunderani,The Two Spoons Cookbook,90,,,French,Drink,,,,,,,,
Wally's Chocolate Coffee Freakshake,Hannah Sunderani,The Two Spoons Cookbook,93,,,French,Drink,,,,,,,,
Supreme Blueberry Smoothie,Hannah Sunderani,The Two Spoons Cookbook,94,,,French,Drink,,,,,,,,
Green Detox Smoothie,Hannah Sunderani,The Two Spoons Cookbook,97,,,French,Drink,,,,,,,,
Immunity Boost Juice,Hannah Sunderani,The Two Spoons Cookbook,98,,,French,Drink,,,,,,,,
Energizing Green Tonic,Hannah Sunderani,The Two Spoons Cookbook,101,,,French,Drink,,,,,,,,
Sweet Sables,Hannah Sunderani,The Two Spoons Cookbook,107,,,French,Dessert,,,,,,,,
Pretty Petites Meringues,Hannah Sunderani,The Two Spoons Cookbook,110,,,French,Dessert,,,,,,,,
Chocolate Macarons,Hannah Sunderani,The Two Spoons Cookbook,113,,,French,Dessert,,,,,,,,
Madeleines,Hannah Sunderani,The Two Spoons Cookbook,117,,,French,Dessert,,,,,,,,
My Darling Flourless Chocolate Chip Cookies,Hannah Sunderani,The Two Spoons Cookbook,118,,,French,Dessert,,,,,,,,
Raspberry Jam Thumbprint Cookies,Hannah Sunderani,The Two Spoons Cookbook,121,,,French,Dessert,,,,,,,,
Ginger Snap or Chewy Cookies,Hannah Sunderani,The Two Spoons Cookbook,122,,,French,Dessert,,,,,,,,
Canneles,Hannah Sunderani,The Two Spoons Cookbook,125,,,French,Dessert,,,,,,,,
Baked Beignets,Hannah Sunderani,The Two Spoons Cookbook,127,,,French,Dessert,,,,,,,,
Pain d'Epices,Hannah Sunderani,The Two Spoons Cookbook,129,,,French,Dessert,,,,,,,,
Healthier Millionaire Bars,Hannah Sunderani,The Two Spoons Cookbook,133,,,French,Dessert,,,,,,,,
Brookies,Hannah Sunderani,The Two Spoons Cookbook,135,,,French,Dessert,,,,,,,,
Pumpkin Chickpea Blondies,Hannah Sunderani,The Two Spoons Cookbook,139,,,French,Dessert,,,,,,,,
Chocolate Almond Torte,Hannah Sunderani,The Two Spoons Cookbook,140,,,French,Dessert,,,,,,,,
Chocolate Chip Banana Bread,Hannah Sunderani,The Two Spoons Cookbook,143,,,French,Breakfast,,,,,,,,
Sneaky Zucchini and Walnut Bread,Hannah Sunderani,The Two Spoons Cookbook,144,,,French,Breakfast,,,,,,,,
Feel Good Raspberry Muffins,Hannah Sunderani,The Two Spoons Cookbook,146,,,French,Breakfast,,,,,,,,
Chocolate Hazelnut Swirl Muffins,Hannah Sunderani,The Two Spoons Cookbook,149,,,French,Breakfast,,,,,,,,
Dreamy Cashew Cream Cheese,Hannah Sunderani,The Two Spoons Cookbook,155,,,French,Snack,,,,,,,,
Blue Cheese,Hannah Sunderani,The Two Spoons Cookbook,156,,,French,Snack,,,,,,,,
Herb and Garlic Cheese,Hannah Sunderani,The Two Spoons Cookbook,159,,,French,Snack,,,,,,,,
Luxurious Baked Brie,Hannah Sunderani,The Two Spoons Cookbook,160,,,French,Snack,,,,,,,,
Ooey Gooey Cheesy Fondue,Hannah Sunderani,The Two Spoons Cookbook,163,,,French,Snack,,,,,,,,
Refreshing Ricotta Cheese,Hannah Sunderani,The Two Spoons Cookbook,164,,,French,Snack,,,,,,,,
Sprinkle-on-Everything Parmesan,Hannah Sunderani,The Two Spoons Cookbook,167,,,French,Snack,,,,,,,,
Pink Beet Hummus,Hannah Sunderani,The Two Spoons Cookbook,168,,,French,Snack,,,,,,,,
Golden Roasted Carrot Hummus,Hannah Sunderani,The Two Spoons Cookbook,171,,,French,Snack,,,,,,,,
Roasted Eggplant Baba Ganoush,Hannah Sunderani,The Two Spoons Cookbook,172,,,French,Snack,,,,,,,,
Creamy Avocado Mousse,Hannah Sunderani,The Two Spoons Cookbook,175,,,French,Snack,,,,,,,,
Faux Gras,Hannah Sunderani,The Two Spoons Cookbook,176,,,French,Snack,,,,,,,,
Crunchy Curried Roasted Chickpeas,Hannah Sunderani,The Two Spoons Cookbook,179,,,French,Snack,,,,,,,,
Cheesy Kale Chips,Hannah Sunderani,The Two Spoons Cookbook,180,,,French,Snack,,,,,,,,
Super-Seedy Crackers,Hannah Sunderani,The Two Spoons Cookbook,183,,,French,Snack,,,,,,,,
Crispy Baked Frites,Hannah Sunderani,The Two Spoons Cookbook,184,,,French,Snack,,,,,,,,
Broccoli and Potato Croquettes,Hannah Sunderani,The Two Spoons Cookbook,187,,,French,Snack,,,,,,,,
Chunky Vegetable Soup,Hannah Sunderani,The Two Spoons Cookbook,193,,,French,Soup,,,,,,,,
Creamy Carrot and Ginger Soup,Hannah Sunderani,The Two Spoons Cookbook,194,,,French,Soup,,,,,,,,
"Butternut Squash, Apple, and Sage Soup",Hannah Sunderani,The Two Spoons Cookbook,197,,,French,Soup,,,,,,,,
Gourmet French Onion Soup,Hannah Sunderani,The Two Spoons Cookbook,199,,,French,Soup,,,,,,,,
Hearty Moroccan Lentil Soup,Hannah Sunderani,The Two Spoons Cookbook,203,,,French,Soup,,,,,,,,
Chilled Tomato Gazpacho,Hannah Sunderani,The Two Spoons Cookbook,204,,,French,Soup,,,,,,,,
Chickpea Salad Nioise,Hannah Sunderani,The Two Spoons Cookbook,207,,,French,Salad,,,,,,,,
Herby Quinoa Tabbouleh Salad,Hannah Sunderani,The Two Spoons Cookbook,208,,,French,Salad,,,,,,,,
French Lentil and Walnut Salad,Hannah Sunderani,The Two Spoons Cookbook,211,,,French,Salad,,,,,,,,
Autumn Wild Rice Salad,Hannah Sunderani,The Two Spoons Cookbook,212,,,French,Salad,,,,,,,,
"Shaved Brussels Sprouts Salad with Coconut Bacon, Pomegranate, and Parmesan",Hannah Sunderani,The Two Spoons Cookbook,215,,,French,Salad,,,,,,,,
Creamy Crunchy Kale Caesar Salad,Hannah Sunderani,The Two Spoons Cookbook,216,,,French,Salad,,,,,,,,
Green Beans Amandine,Hannah Sunderani,The Two Spoons Cookbook,223,,,French,Entrée,,,,,,,,
Grilled Asparagus with Cherry Tomatoes and Parmesan,Hannah Sunderani,The Two Spoons Cookbook,224,,,French,Entrée,,,,,,,,
Balsamic Roasted Beets with Toasted Pine Nut s and Blue Cheese,Hannah Sunderani,The Two Spoons Cookbook,227,,,French,Entrée,,,,,,,,
Maple Spiced Roasted Carrots,Hannah Sunderani,The Two Spoons Cookbook,228,,,French,Entrée,,,,,,,,
Oven-Baked Falafels,Hannah Sunderani,The Two Spoons Cookbook,231,,,French,Entrée,,,,,,,,
Winter Bliss Bowl,Hannah Sunderani,The Two Spoons Cookbook,233,,,French,Entrée,,,,,,,,
Super-Stuffed Sweet Potatoes with Chickpea Chili,Hannah Sunderani,The Two Spoons Cookbook,237,,,French,Entrée,,,,,,,,
Roasted Cauliflower with Pesto and Tahini Drizzle,Hannah Sunderani,The Two Spoons Cookbook,238,,,French,Entrée,,,,,,,,
Moroccan Stuffed Eggplant with French Lentils and Parmesan,Hannah Sunderani,The Two Spoons Cookbook,241,,,French,Entrée,,,,,,,,
"Ultra-Cozy Sweet Potato, Chickpea, and Spinach Curry",Hannah Sunderani,The Two Spoons Cookbook,242,,,French,Entrée,,,,,,,,
Crispy Peanut Tofu Bowl with Roasted Broccolini,Hannah Sunderani,The Two Spoons Cookbook,245,,,French,Entrée,,,,,,,,
Mushroom Bourguignon with Buttery Mashed Potatoes,Hannah Sunderani,The Two Spoons Cookbook,247,,,French,Entrée,,,,,,,,
Balsamic Mushroom Risotto,Hannah Sunderani,The Two Spoons Cookbook,251,,,French,Entrée,,,,,,,,
Summer Rainbow Ratatouille,Hannah Sunderani,The Two Spoons Cookbook,253,,,French,Entrée,,,,,,,,
Spinach and Ricotta Stuffed Shells,Hannah Sunderani,The Two Spoons Cookbook,257,,,French,Entrée,,,,,,,,
Cauliflower au Gratin,Hannah Sunderani,The Two Spoons Cookbook,258,,,French,Entrée,,,,,,,,
"Baked Potatoes with Mushrooms, Spinach, and Gravy",Hannah Sunderani,The Two Spoons Cookbook,261,,,French,Entrée,,,,,,,,
Lemon Tart,Hannah Sunderani,The Two Spoons Cookbook,265,,,French,Dessert,,,,,,,,
Pear Tarfe Tatin,Hannah Sunderani,The Two Spoons Cookbook,267,,,French,Dessert,,,,,,,,
Sweet Cherry Frangipane Tart,Hannah Sunderani,The Two Spoons Cookbook,271,,,French,Dessert,,,,,,,,
French Apple Tart,Hannah Sunderani,The Two Spoons Cookbook,273,,,French,Dessert,,,,,,,,
Level-Up Chocolate Mousse Tart,Hannah Sunderani,The Two Spoons Cookbook,277,,,French,Dessert,,,,,,,,
Kryptonite Chocolate Lava Cakes,Hannah Sunderani,The Two Spoons Cookbook,278,,,French,Dessert,,,,,,,,
Mousse au Chocolat,Hannah Sunderani,The Two Spoons Cookbook,281,,,French,Dessert,,,,,,,,
Chocolate Peanut Butter Truffles,Hannah Sunderani,The Two Spoons Cookbook,282,,,French,Dessert,,,,,,,,
Raspberry Clafoutis,Hannah Sunderani,The Two Spoons Cookbook,285,,,French,Dessert,,,,,,,,
Just Peachy Crumble,Hannah Sunderani,The Two Spoons Cookbook,286,,,French,Dessert,,,,,,,,
Winter Poached Pears with Spiced Syrup,Hannah Sunderani,The Two Spoons Cookbook,289,,,French,Dessert,,,,,,,,
Blueberry Ginger Galette,Hannah Sunderani,The Two Spoons Cookbook,291,,,French,Dessert,,,,,,,,
Classic Creme Brulee,Hannah Sunderani,The Two Spoons Cookbook,293,,,French,Dessert,,,,,,,,
Creme Caramel,Hannah Sunderani,The Two Spoons Cookbook,297,,,French,Dessert,,,,,,,,
Chantilly,Hannah Sunderani,The Two Spoons Cookbook,298,,,French,Dessert,,,,,,,,
